Area|Sources of personal income|Ethnic group|Value|Flags
"Pohonui-Porewa"|"Total people stated"|"Total people, ethnic group"|1500|
"Pohonui-Porewa"|"Not stated"|"Total people, ethnic group"|87|
"Lake Alice"|"Total people, sources of personal income"|"Total people, ethnic group"|2145|
"Lake Alice"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1122|
"Lake Alice"|"Self-employment or business"|"Total people, ethnic group"|576|
"Lake Alice"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|501|
"Lake Alice"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Lake Alice"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|369|
"Lake Alice"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|27|
"Lake Alice"|"Unemployment benefit"|"Total people, ethnic group"|33|
"Lake Alice"|"Sickness benefit"|"Total people, ethnic group"|33|
"Lake Alice"|"Domestic purposes benefit"|"Total people, ethnic group"|30|
"Lake Alice"|"Invalids benefit"|"Total people, ethnic group"|36|
"Lake Alice"|"Student allowance"|"Total people, ethnic group"|27|
"Lake Alice"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|87|
"Lake Alice"|"Other sources of income"|"Total people, ethnic group"|24|
"Lake Alice"|"No source of income during that time"|"Total people, ethnic group"|135|
"Lake Alice"|"Total people stated"|"Total people, ethnic group"|2022|
"Lake Alice"|"Not stated"|"Total people, ethnic group"|126|
"Koitiata"|"Total people, sources of personal income"|"Total people, ethnic group"|99|
"Koitiata"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|45|
"Koitiata"|"Self-employment or business"|"Total people, ethnic group"|9|
"Koitiata"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|18|
"Koitiata"|"Payments from a work accident insurer"|"Total people, ethnic group"|0|
"Koitiata"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|33|
"Koitiata"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Koitiata"|"Unemployment benefit"|"Total people, ethnic group"|3|
"Koitiata"|"Sickness benefit"|"Total people, ethnic group"|3|
"Koitiata"|"Domestic purposes benefit"|"Total people, ethnic group"|0|
"Koitiata"|"Invalids benefit"|"Total people, ethnic group"|0|
"Koitiata"|"Student allowance"|"Total people, ethnic group"|0|
"Koitiata"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|3|
"Koitiata"|"Other sources of income"|"Total people, ethnic group"|0|
"Koitiata"|"No source of income during that time"|"Total people, ethnic group"|3|
"Koitiata"|"Total people stated"|"Total people, ethnic group"|96|
"Koitiata"|"Not stated"|"Total people, ethnic group"|6|
"Taihape"|"Total people, sources of personal income"|"Total people, ethnic group"|1194|
"Taihape"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|720|
"Taihape"|"Self-employment or business"|"Total people, ethnic group"|162|
"Taihape"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|195|
"Taihape"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Taihape"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|234|
"Taihape"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Taihape"|"Unemployment benefit"|"Total people, ethnic group"|33|
"Taihape"|"Sickness benefit"|"Total people, ethnic group"|36|
"Taihape"|"Domestic purposes benefit"|"Total people, ethnic group"|30|
"Taihape"|"Invalids benefit"|"Total people, ethnic group"|33|
"Taihape"|"Student allowance"|"Total people, ethnic group"|9|
"Taihape"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|48|
"Taihape"|"Other sources of income"|"Total people, ethnic group"|18|
"Taihape"|"No source of income during that time"|"Total people, ethnic group"|48|
"Taihape"|"Total people stated"|"Total people, ethnic group"|1131|
"Taihape"|"Not stated"|"Total people, ethnic group"|63|
"Marton"|"Total people, sources of personal income"|"Total people, ethnic group"|3630|
"Marton"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1731|
"Marton"|"Self-employment or business"|"Total people, ethnic group"|300|
"Marton"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|606|
"Marton"|"Payments from a work accident insurer"|"Total people, ethnic group"|54|
"Marton"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|951|
"Marton"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|117|
"Marton"|"Unemployment benefit"|"Total people, ethnic group"|165|
"Marton"|"Sickness benefit"|"Total people, ethnic group"|93|
"Marton"|"Domestic purposes benefit"|"Total people, ethnic group"|129|
"Marton"|"Invalids benefit"|"Total people, ethnic group"|156|
"Marton"|"Student allowance"|"Total people, ethnic group"|51|
"Marton"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|147|
"Marton"|"Other sources of income"|"Total people, ethnic group"|39|
"Marton"|"No source of income during that time"|"Total people, ethnic group"|210|
"Marton"|"Total people stated"|"Total people, ethnic group"|3441|
"Marton"|"Not stated"|"Total people, ethnic group"|189|
"Kiwitea"|"Total people, sources of personal income"|"Total people, ethnic group"|1095|
"Kiwitea"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|537|
"Kiwitea"|"Self-employment or business"|"Total people, ethnic group"|372|
"Kiwitea"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|270|
"Kiwitea"|"Payments from a work accident insurer"|"Total people, ethnic group"|27|
"Kiwitea"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|135|
"Kiwitea"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Kiwitea"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Kiwitea"|"Sickness benefit"|"Total people, ethnic group"|21|
"Kiwitea"|"Domestic purposes benefit"|"Total people, ethnic group"|18|
"Kiwitea"|"Invalids benefit"|"Total people, ethnic group"|15|
"Kiwitea"|"Student allowance"|"Total people, ethnic group"|12|
"Kiwitea"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|51|
"Kiwitea"|"Other sources of income"|"Total people, ethnic group"|15|
"Kiwitea"|"No source of income during that time"|"Total people, ethnic group"|69|
"Kiwitea"|"Total people stated"|"Total people, ethnic group"|1041|
"Kiwitea"|"Not stated"|"Total people, ethnic group"|54|
"Pohangina"|"Total people, sources of personal income"|"Total people, ethnic group"|858|
"Pohangina"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|486|
"Pohangina"|"Self-employment or business"|"Total people, ethnic group"|300|
"Pohangina"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|231|
"Pohangina"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Pohangina"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|111|
"Pohangina"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|18|
"Pohangina"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Pohangina"|"Sickness benefit"|"Total people, ethnic group"|12|
"Pohangina"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Pohangina"|"Invalids benefit"|"Total people, ethnic group"|12|
"Pohangina"|"Student allowance"|"Total people, ethnic group"|6|
"Pohangina"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|24|
"Pohangina"|"Other sources of income"|"Total people, ethnic group"|21|
"Pohangina"|"No source of income during that time"|"Total people, ethnic group"|48|
"Pohangina"|"Total people stated"|"Total people, ethnic group"|837|
"Pohangina"|"Not stated"|"Total people, ethnic group"|21|
"Oroua Bridge"|"Total people, sources of personal income"|"Total people, ethnic group"|192|
"Oroua Bridge"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|93|
"Oroua Bridge"|"Self-employment or business"|"Total people, ethnic group"|39|
"Oroua Bridge"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|60|
"Oroua Bridge"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Oroua Bridge"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|39|
"Oroua Bridge"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Oroua Bridge"|"Unemployment benefit"|"Total people, ethnic group"|3|
"Oroua Bridge"|"Sickness benefit"|"Total people, ethnic group"|6|
"Oroua Bridge"|"Domestic purposes benefit"|"Total people, ethnic group"|0|
"Oroua Bridge"|"Invalids benefit"|"Total people, ethnic group"|27|
"Oroua Bridge"|"Student allowance"|"Total people, ethnic group"|9|
"Oroua Bridge"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|6|
"Oroua Bridge"|"Other sources of income"|"Total people, ethnic group"|3|
"Oroua Bridge"|"No source of income during that time"|"Total people, ethnic group"|6|
"Oroua Bridge"|"Total people stated"|"Total people, ethnic group"|180|
"Oroua Bridge"|"Not stated"|"Total people, ethnic group"|12|
"Maewa"|"Total people, sources of personal income"|"Total people, ethnic group"|732|
"Maewa"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|411|
"Maewa"|"Self-employment or business"|"Total people, ethnic group"|132|
"Maewa"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|249|
"Maewa"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Maewa"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|156|
"Maewa"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|54|
"Maewa"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Maewa"|"Sickness benefit"|"Total people, ethnic group"|6|
"Maewa"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Maewa"|"Invalids benefit"|"Total people, ethnic group"|6|
"Maewa"|"Student allowance"|"Total people, ethnic group"|6|
"Maewa"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|24|
"Maewa"|"Other sources of income"|"Total people, ethnic group"|3|
"Maewa"|"No source of income during that time"|"Total people, ethnic group"|36|
"Maewa"|"Total people stated"|"Total people, ethnic group"|720|
"Maewa"|"Not stated"|"Total people, ethnic group"|9|
"Halcombe"|"Total people, sources of personal income"|"Total people, ethnic group"|429|
"Halcombe"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|282|
"Halcombe"|"Self-employment or business"|"Total people, ethnic group"|72|
"Halcombe"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|75|
"Halcombe"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Halcombe"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|48|
"Halcombe"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Halcombe"|"Unemployment benefit"|"Total people, ethnic group"|3|
"Halcombe"|"Sickness benefit"|"Total people, ethnic group"|6|
"Halcombe"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Halcombe"|"Invalids benefit"|"Total people, ethnic group"|6|
"Halcombe"|"Student allowance"|"Total people, ethnic group"|3|
"Halcombe"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|18|
"Halcombe"|"Other sources of income"|"Total people, ethnic group"|6|
"Halcombe"|"No source of income during that time"|"Total people, ethnic group"|39|
"Halcombe"|"Total people stated"|"Total people, ethnic group"|426|
"Halcombe"|"Not stated"|"Total people, ethnic group"|6|
"Tokorangi-Hiwinui"|"Total people, sources of personal income"|"Total people, ethnic group"|1902|
"Tokorangi-Hiwinui"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1131|
"Tokorangi-Hiwinui"|"Self-employment or business"|"Total people, ethnic group"|546|
"Tokorangi-Hiwinui"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|516|
"Tokorangi-Hiwinui"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Tokorangi-Hiwinui"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|261|
"Tokorangi-Hiwinui"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|30|
"Tokorangi-Hiwinui"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Tokorangi-Hiwinui"|"Sickness benefit"|"Total people, ethnic group"|12|
"Tokorangi-Hiwinui"|"Domestic purposes benefit"|"Total people, ethnic group"|18|
"Tokorangi-Hiwinui"|"Invalids benefit"|"Total people, ethnic group"|27|
"Tokorangi-Hiwinui"|"Student allowance"|"Total people, ethnic group"|21|
"Tokorangi-Hiwinui"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|78|
"Tokorangi-Hiwinui"|"Other sources of income"|"Total people, ethnic group"|18|
"Tokorangi-Hiwinui"|"No source of income during that time"|"Total people, ethnic group"|105|
"Tokorangi-Hiwinui"|"Total people stated"|"Total people, ethnic group"|1845|
"Tokorangi-Hiwinui"|"Not stated"|"Total people, ethnic group"|57|
"Feilding North"|"Total people, sources of personal income"|"Total people, ethnic group"|3057|
"Feilding North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1737|
"Feilding North"|"Self-employment or business"|"Total people, ethnic group"|210|
"Feilding North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|375|
"Feilding North"|"Payments from a work accident insurer"|"Total people, ethnic group"|42|
"Feilding North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|474|
"Feilding North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|81|
"Feilding North"|"Unemployment benefit"|"Total people, ethnic group"|93|
"Feilding North"|"Sickness benefit"|"Total people, ethnic group"|99|
"Feilding North"|"Domestic purposes benefit"|"Total people, ethnic group"|129|
"Feilding North"|"Invalids benefit"|"Total people, ethnic group"|105|
"Feilding North"|"Student allowance"|"Total people, ethnic group"|60|
"Feilding North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|162|
"Feilding North"|"Other sources of income"|"Total people, ethnic group"|51|
"Feilding North"|"No source of income during that time"|"Total people, ethnic group"|237|
"Feilding North"|"Total people stated"|"Total people, ethnic group"|2874|
"Feilding North"|"Not stated"|"Total people, ethnic group"|186|
"Feilding West"|"Total people, sources of personal income"|"Total people, ethnic group"|3060|
"Feilding West"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1596|
"Feilding West"|"Self-employment or business"|"Total people, ethnic group"|309|
"Feilding West"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|702|
"Feilding West"|"Payments from a work accident insurer"|"Total people, ethnic group"|42|
"Feilding West"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|837|
"Feilding West"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|99|
"Feilding West"|"Unemployment benefit"|"Total people, ethnic group"|78|
"Feilding West"|"Sickness benefit"|"Total people, ethnic group"|60|
"Feilding West"|"Domestic purposes benefit"|"Total people, ethnic group"|75|
"Feilding West"|"Invalids benefit"|"Total people, ethnic group"|90|
"Feilding West"|"Student allowance"|"Total people, ethnic group"|48|
"Feilding West"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|135|
"Feilding West"|"Other sources of income"|"Total people, ethnic group"|42|
"Feilding West"|"No source of income during that time"|"Total people, ethnic group"|150|
"Feilding West"|"Total people stated"|"Total people, ethnic group"|2931|
"Feilding West"|"Not stated"|"Total people, ethnic group"|129|
"Feilding Central"|"Total people, sources of personal income"|"Total people, ethnic group"|2106|
"Feilding Central"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1083|
"Feilding Central"|"Self-employment or business"|"Total people, ethnic group"|171|
"Feilding Central"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|258|
"Feilding Central"|"Payments from a work accident insurer"|"Total people, ethnic group"|33|
"Feilding Central"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|423|
"Feilding Central"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|54|
"Feilding Central"|"Unemployment benefit"|"Total people, ethnic group"|66|
"Feilding Central"|"Sickness benefit"|"Total people, ethnic group"|57|
"Feilding Central"|"Domestic purposes benefit"|"Total people, ethnic group"|93|
"Feilding Central"|"Invalids benefit"|"Total people, ethnic group"|111|
"Feilding Central"|"Student allowance"|"Total people, ethnic group"|39|
"Feilding Central"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|135|
"Feilding Central"|"Other sources of income"|"Total people, ethnic group"|48|
"Feilding Central"|"No source of income during that time"|"Total people, ethnic group"|132|
"Feilding Central"|"Total people stated"|"Total people, ethnic group"|1974|
"Feilding Central"|"Not stated"|"Total people, ethnic group"|135|
"Feilding East"|"Total people, sources of personal income"|"Total people, ethnic group"|2313|
"Feilding East"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1245|
"Feilding East"|"Self-employment or business"|"Total people, ethnic group"|216|
"Feilding East"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|486|
"Feilding East"|"Payments from a work accident insurer"|"Total people, ethnic group"|39|
"Feilding East"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|567|
"Feilding East"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|72|
"Feilding East"|"Unemployment benefit"|"Total people, ethnic group"|57|
"Feilding East"|"Sickness benefit"|"Total people, ethnic group"|45|
"Feilding East"|"Domestic purposes benefit"|"Total people, ethnic group"|69|
"Feilding East"|"Invalids benefit"|"Total people, ethnic group"|63|
"Feilding East"|"Student allowance"|"Total people, ethnic group"|30|
"Feilding East"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|111|
"Feilding East"|"Other sources of income"|"Total people, ethnic group"|45|
"Feilding East"|"No source of income during that time"|"Total people, ethnic group"|132|
"Feilding East"|"Total people stated"|"Total people, ethnic group"|2223|
"Feilding East"|"Not stated"|"Total people, ethnic group"|87|
"Sanson"|"Total people, sources of personal income"|"Total people, ethnic group"|417|
"Sanson"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|234|
"Sanson"|"Self-employment or business"|"Total people, ethnic group"|51|
"Sanson"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|36|
"Sanson"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Sanson"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|60|
"Sanson"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|9|
"Sanson"|"Unemployment benefit"|"Total people, ethnic group"|15|
"Sanson"|"Sickness benefit"|"Total people, ethnic group"|15|
"Sanson"|"Domestic purposes benefit"|"Total people, ethnic group"|15|
"Sanson"|"Invalids benefit"|"Total people, ethnic group"|27|
"Sanson"|"Student allowance"|"Total people, ethnic group"|6|
"Sanson"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|18|
"Sanson"|"Other sources of income"|"Total people, ethnic group"|9|
"Sanson"|"No source of income during that time"|"Total people, ethnic group"|33|
"Sanson"|"Total people stated"|"Total people, ethnic group"|405|
"Sanson"|"Not stated"|"Total people, ethnic group"|12|
"Rongotea"|"Total people, sources of personal income"|"Total people, ethnic group"|480|
"Rongotea"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|252|
"Rongotea"|"Self-employment or business"|"Total people, ethnic group"|54|
"Rongotea"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|66|
"Rongotea"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Rongotea"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|90|
"Rongotea"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Rongotea"|"Unemployment benefit"|"Total people, ethnic group"|12|
"Rongotea"|"Sickness benefit"|"Total people, ethnic group"|12|
"Rongotea"|"Domestic purposes benefit"|"Total people, ethnic group"|12|
"Rongotea"|"Invalids benefit"|"Total people, ethnic group"|18|
"Rongotea"|"Student allowance"|"Total people, ethnic group"|3|
"Rongotea"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|15|
"Rongotea"|"Other sources of income"|"Total people, ethnic group"|12|
"Rongotea"|"No source of income during that time"|"Total people, ethnic group"|48|
"Rongotea"|"Total people stated"|"Total people, ethnic group"|456|
"Rongotea"|"Not stated"|"Total people, ethnic group"|24|
"Tangimoana"|"Total people, sources of personal income"|"Total people, ethnic group"|171|
"Tangimoana"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|78|
"Tangimoana"|"Self-employment or business"|"Total people, ethnic group"|12|
"Tangimoana"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|21|
"Tangimoana"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Tangimoana"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|51|
"Tangimoana"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Tangimoana"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Tangimoana"|"Sickness benefit"|"Total people, ethnic group"|3|
"Tangimoana"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Tangimoana"|"Invalids benefit"|"Total people, ethnic group"|15|
"Tangimoana"|"Student allowance"|"Total people, ethnic group"|0|
"Tangimoana"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|9|
"Tangimoana"|"Other sources of income"|"Total people, ethnic group"|3|
"Tangimoana"|"No source of income during that time"|"Total people, ethnic group"|6|
"Tangimoana"|"Total people stated"|"Total people, ethnic group"|162|
"Tangimoana"|"Not stated"|"Total people, ethnic group"|9|
"Himatangi Beach"|"Total people, sources of personal income"|"Total people, ethnic group"|354|
"Himatangi Beach"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|165|
"Himatangi Beach"|"Self-employment or business"|"Total people, ethnic group"|42|
"Himatangi Beach"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|30|
"Himatangi Beach"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Himatangi Beach"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|81|
"Himatangi Beach"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Himatangi Beach"|"Unemployment benefit"|"Total people, ethnic group"|18|
"Himatangi Beach"|"Sickness benefit"|"Total people, ethnic group"|18|
"Himatangi Beach"|"Domestic purposes benefit"|"Total people, ethnic group"|15|
"Himatangi Beach"|"Invalids benefit"|"Total people, ethnic group"|27|
"Himatangi Beach"|"Student allowance"|"Total people, ethnic group"|6|
"Himatangi Beach"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|18|
"Himatangi Beach"|"Other sources of income"|"Total people, ethnic group"|3|
"Himatangi Beach"|"No source of income during that time"|"Total people, ethnic group"|21|
"Himatangi Beach"|"Total people stated"|"Total people, ethnic group"|345|
"Himatangi Beach"|"Not stated"|"Total people, ethnic group"|12|
"Rakiraki"|"Total people, sources of personal income"|"Total people, ethnic group"|249|
"Rakiraki"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|129|
"Rakiraki"|"Self-employment or business"|"Total people, ethnic group"|66|
"Rakiraki"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|66|
"Rakiraki"|"Payments from a work accident insurer"|"Total people, ethnic group"|0|
"Rakiraki"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|39|
"Rakiraki"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Rakiraki"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Rakiraki"|"Sickness benefit"|"Total people, ethnic group"|3|
"Rakiraki"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Rakiraki"|"Invalids benefit"|"Total people, ethnic group"|3|
"Rakiraki"|"Student allowance"|"Total people, ethnic group"|3|
"Rakiraki"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|12|
"Rakiraki"|"Other sources of income"|"Total people, ethnic group"|3|
"Rakiraki"|"No source of income during that time"|"Total people, ethnic group"|24|
"Rakiraki"|"Total people stated"|"Total people, ethnic group"|240|
"Rakiraki"|"Not stated"|"Total people, ethnic group"|6|
"Ohakea"|"Total people, sources of personal income"|"Total people, ethnic group"|186|
"Ohakea"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|159|
"Ohakea"|"Self-employment or business"|"Total people, ethnic group"|6|
"Ohakea"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|54|
"Ohakea"|"Payments from a work accident insurer"|"Total people, ethnic group"|0|
"Ohakea"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|3|
"Ohakea"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|6|
"Ohakea"|"Unemployment benefit"|"Total people, ethnic group"|0|
"Ohakea"|"Sickness benefit"|"Total people, ethnic group"|3|
"Ohakea"|"Domestic purposes benefit"|"Total people, ethnic group"|3|
"Ohakea"|"Invalids benefit"|"Total people, ethnic group"|0|
"Ohakea"|"Student allowance"|"Total people, ethnic group"|3|
"Ohakea"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|9|
"Ohakea"|"Other sources of income"|"Total people, ethnic group"|0|
"Ohakea"|"No source of income during that time"|"Total people, ethnic group"|9|
"Ohakea"|"Total people stated"|"Total people, ethnic group"|183|
"Ohakea"|"Not stated"|"Total people, ethnic group"|3|
"Oroua Downs-Waitohi"|"Total people, sources of personal income"|"Total people, ethnic group"|2511|
"Oroua Downs-Waitohi"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1341|
"Oroua Downs-Waitohi"|"Self-employment or business"|"Total people, ethnic group"|780|
"Oroua Downs-Waitohi"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|630|
"Oroua Downs-Waitohi"|"Payments from a work accident insurer"|"Total people, ethnic group"|39|
"Oroua Downs-Waitohi"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|366|
"Oroua Downs-Waitohi"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|33|
"Oroua Downs-Waitohi"|"Unemployment benefit"|"Total people, ethnic group"|42|
"Oroua Downs-Waitohi"|"Sickness benefit"|"Total people, ethnic group"|45|
"Oroua Downs-Waitohi"|"Domestic purposes benefit"|"Total people, ethnic group"|42|
"Oroua Downs-Waitohi"|"Invalids benefit"|"Total people, ethnic group"|48|
"Oroua Downs-Waitohi"|"Student allowance"|"Total people, ethnic group"|18|
"Oroua Downs-Waitohi"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|90|
"Oroua Downs-Waitohi"|"Other sources of income"|"Total people, ethnic group"|30|
"Oroua Downs-Waitohi"|"No source of income during that time"|"Total people, ethnic group"|144|
"Oroua Downs-Waitohi"|"Total people stated"|"Total people, ethnic group"|2388|
"Oroua Downs-Waitohi"|"Not stated"|"Total people, ethnic group"|123|
"Kauwhata"|"Total people, sources of personal income"|"Total people, ethnic group"|1551|
"Kauwhata"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|825|
"Kauwhata"|"Self-employment or business"|"Total people, ethnic group"|447|
"Kauwhata"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|402|
"Kauwhata"|"Payments from a work accident insurer"|"Total people, ethnic group"|36|
"Kauwhata"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|201|
"Kauwhata"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Kauwhata"|"Unemployment benefit"|"Total people, ethnic group"|21|
"Kauwhata"|"Sickness benefit"|"Total people, ethnic group"|18|
"Kauwhata"|"Domestic purposes benefit"|"Total people, ethnic group"|15|
"Kauwhata"|"Invalids benefit"|"Total people, ethnic group"|18|
"Kauwhata"|"Student allowance"|"Total people, ethnic group"|24|
"Kauwhata"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|60|
"Kauwhata"|"Other sources of income"|"Total people, ethnic group"|27|
"Kauwhata"|"No source of income during that time"|"Total people, ethnic group"|93|
"Kauwhata"|"Total people stated"|"Total people, ethnic group"|1434|
"Kauwhata"|"Not stated"|"Total people, ethnic group"|117|
"Ashhurst"|"Total people, sources of personal income"|"Total people, ethnic group"|2094|
"Ashhurst"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1269|
"Ashhurst"|"Self-employment or business"|"Total people, ethnic group"|240|
"Ashhurst"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|348|
"Ashhurst"|"Payments from a work accident insurer"|"Total people, ethnic group"|36|
"Ashhurst"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|339|
