Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Bay of Plenty Region"|"25-34 years"|"Female sole parent"|"2013"|2679|
"Gisborne Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|681|
"Gisborne Region"|"25-34 years"|"Male sole parent"|"2013"|69|
"Gisborne Region"|"25-34 years"|"Female sole parent"|"2013"|615|
"Hawke's Bay Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1686|
"Hawke's Bay Region"|"25-34 years"|"Male sole parent"|"2013"|201|
"Hawke's Bay Region"|"25-34 years"|"Female sole parent"|"2013"|1488|
"Taranaki Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1029|
"Taranaki Region"|"25-34 years"|"Male sole parent"|"2013"|99|
"Taranaki Region"|"25-34 years"|"Female sole parent"|"2013"|930|
"Manawatu-Wanganui Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|2382|
"Manawatu-Wanganui Region"|"25-34 years"|"Male sole parent"|"2013"|270|
"Manawatu-Wanganui Region"|"25-34 years"|"Female sole parent"|"2013"|2112|
"Wellington Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|3474|
"Wellington Region"|"25-34 years"|"Male sole parent"|"2013"|369|
"Wellington Region"|"25-34 years"|"Female sole parent"|"2013"|3105|
"Tasman Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|267|
"Tasman Region"|"25-34 years"|"Male sole parent"|"2013"|15|
"Tasman Region"|"25-34 years"|"Female sole parent"|"2013"|252|
"Nelson Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|411|
"Nelson Region"|"25-34 years"|"Male sole parent"|"2013"|36|
"Nelson Region"|"25-34 years"|"Female sole parent"|"2013"|375|
"Marlborough Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|333|
"Marlborough Region"|"25-34 years"|"Male sole parent"|"2013"|21|
"Marlborough Region"|"25-34 years"|"Female sole parent"|"2013"|312|
"West Coast Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|204|
"West Coast Region"|"25-34 years"|"Male sole parent"|"2013"|24|
"West Coast Region"|"25-34 years"|"Female sole parent"|"2013"|183|
"Canterbury Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|3333|
"Canterbury Region"|"25-34 years"|"Male sole parent"|"2013"|345|
"Canterbury Region"|"25-34 years"|"Female sole parent"|"2013"|2988|
"Otago Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1131|
"Otago Region"|"25-34 years"|"Male sole parent"|"2013"|105|
"Otago Region"|"25-34 years"|"Female sole parent"|"2013"|1023|
"Southland Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"|840|
"Southland Region"|"25-34 years"|"Male sole parent"|"2013"|84|
"Southland Region"|"25-34 years"|"Female sole parent"|"2013"|750|
"Total, Regional Council Areas"|"25-34 years"|"Total one parent with dependent children families"|"2013"|35634|
"Total, Regional Council Areas"|"25-34 years"|"Male sole parent"|"2013"|3822|
"Total, Regional Council Areas"|"25-34 years"|"Female sole parent"|"2013"|31812|
"Area Outside Region"|"25-34 years"|"Total one parent with dependent children families"|"2013"||c
"Area Outside Region"|"25-34 years"|"Male sole parent"|"2013"||c
"Area Outside Region"|"25-34 years"|"Female sole parent"|"2013"||c
"Far North District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|639|
"Far North District"|"25-34 years"|"Male sole parent"|"2013"|81|
"Far North District"|"25-34 years"|"Female sole parent"|"2013"|558|
"Whangarei District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|861|
"Whangarei District"|"25-34 years"|"Male sole parent"|"2013"|108|
"Whangarei District"|"25-34 years"|"Female sole parent"|"2013"|753|
"Kaipara District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|156|
"Kaipara District"|"25-34 years"|"Male sole parent"|"2013"|18|
"Kaipara District"|"25-34 years"|"Female sole parent"|"2013"|138|
"Auckland"|"25-34 years"|"Total one parent with dependent children families"|"2013"|11034|
"Auckland"|"25-34 years"|"Male sole parent"|"2013"|1158|
"Auckland"|"25-34 years"|"Female sole parent"|"2013"|9873|
"Rodney Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|291|
"Rodney Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|33|
"Rodney Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|255|
"Hibiscus and Bays Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|378|
"Hibiscus and Bays Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|30|
"Hibiscus and Bays Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|345|
"Upper Harbour Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|207|
"Upper Harbour Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|21|
"Upper Harbour Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|186|
"Kaipatiki Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|498|
"Kaipatiki Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|48|
"Kaipatiki Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|453|
"Devonport-Takapuna Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|168|
"Devonport-Takapuna Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|21|
"Devonport-Takapuna Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|144|
"Henderson-Massey Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1173|
"Henderson-Massey Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|105|
"Henderson-Massey Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|1068|
"Waitakere Ranges Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|411|
"Waitakere Ranges Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|39|
"Waitakere Ranges Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|372|
"Great Barrier Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"||c
"Great Barrier Local Board Area"|"25-34 years"|"Male sole parent"|"2013"||c
"Great Barrier Local Board Area"|"25-34 years"|"Female sole parent"|"2013"||c
"Waiheke Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|51|
"Waiheke Local Board Area"|"25-34 years"|"Male sole parent"|"2013"||c
"Waiheke Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|45|
"Waitemata Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|195|
"Waitemata Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|21|
"Waitemata Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|171|
"Whau Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|636|
"Whau Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|75|
"Whau Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|561|
"Albert-Eden Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|354|
"Albert-Eden Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|27|
"Albert-Eden Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|327|
"Puketapapa Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|300|
"Puketapapa Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|21|
"Puketapapa Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|276|
"Orakei Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|192|
"Orakei Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|15|
"Orakei Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|174|
"Maungakiekie-Tamaki Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|708|
"Maungakiekie-Tamaki Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|75|
"Maungakiekie-Tamaki Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|633|
"Howick Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|624|
"Howick Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|66|
"Howick Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|564|
"Mangere-Otahuhu Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1155|
"Mangere-Otahuhu Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|141|
"Mangere-Otahuhu Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|1011|
"Otara-Papatoetoe Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1119|
"Otara-Papatoetoe Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|135|
"Otara-Papatoetoe Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|984|
"Manurewa Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1392|
"Manurewa Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|141|
"Manurewa Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|1254|
"Papakura Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|732|
"Papakura Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|87|
"Papakura Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|645|
"Franklin Local Board Area"|"25-34 years"|"Total one parent with dependent children families"|"2013"|450|
"Franklin Local Board Area"|"25-34 years"|"Male sole parent"|"2013"|48|
"Franklin Local Board Area"|"25-34 years"|"Female sole parent"|"2013"|402|
"Thames-Coromandel District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|162|
"Thames-Coromandel District"|"25-34 years"|"Male sole parent"|"2013"|21|
"Thames-Coromandel District"|"25-34 years"|"Female sole parent"|"2013"|141|
"Hauraki District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|144|
"Hauraki District"|"25-34 years"|"Male sole parent"|"2013"|12|
"Hauraki District"|"25-34 years"|"Female sole parent"|"2013"|129|
"Waikato District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|648|
"Waikato District"|"25-34 years"|"Male sole parent"|"2013"|75|
"Waikato District"|"25-34 years"|"Female sole parent"|"2013"|573|
"Matamata-Piako District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|255|
"Matamata-Piako District"|"25-34 years"|"Male sole parent"|"2013"|36|
"Matamata-Piako District"|"25-34 years"|"Female sole parent"|"2013"|219|
"Hamilton City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1776|
"Hamilton City"|"25-34 years"|"Male sole parent"|"2013"|198|
"Hamilton City"|"25-34 years"|"Female sole parent"|"2013"|1578|
"Waipa District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|342|
"Waipa District"|"25-34 years"|"Male sole parent"|"2013"|30|
"Waipa District"|"25-34 years"|"Female sole parent"|"2013"|309|
"Otorohanga District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|72|
"Otorohanga District"|"25-34 years"|"Male sole parent"|"2013"||c
"Otorohanga District"|"25-34 years"|"Female sole parent"|"2013"|66|
"South Waikato District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|285|
"South Waikato District"|"25-34 years"|"Male sole parent"|"2013"|36|
"South Waikato District"|"25-34 years"|"Female sole parent"|"2013"|246|
"Waitomo District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|102|
"Waitomo District"|"25-34 years"|"Male sole parent"|"2013"|15|
"Waitomo District"|"25-34 years"|"Female sole parent"|"2013"|87|
"Taupo District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|351|
"Taupo District"|"25-34 years"|"Male sole parent"|"2013"|33|
"Taupo District"|"25-34 years"|"Female sole parent"|"2013"|318|
"Western Bay of Plenty District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|321|
"Western Bay of Plenty District"|"25-34 years"|"Male sole parent"|"2013"|36|
"Western Bay of Plenty District"|"25-34 years"|"Female sole parent"|"2013"|285|
"Tauranga City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|1143|
"Tauranga City"|"25-34 years"|"Male sole parent"|"2013"|120|
"Tauranga City"|"25-34 years"|"Female sole parent"|"2013"|1023|
"Rotorua District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|930|
"Rotorua District"|"25-34 years"|"Male sole parent"|"2013"|120|
"Rotorua District"|"25-34 years"|"Female sole parent"|"2013"|810|
"Whakatane District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|405|
"Whakatane District"|"25-34 years"|"Male sole parent"|"2013"|48|
"Whakatane District"|"25-34 years"|"Female sole parent"|"2013"|357|
"Kawerau District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|126|
"Kawerau District"|"25-34 years"|"Male sole parent"|"2013"|15|
"Kawerau District"|"25-34 years"|"Female sole parent"|"2013"|111|
"Opotiki District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|120|
"Opotiki District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Opotiki District"|"25-34 years"|"Female sole parent"|"2013"|111|
"Gisborne District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|684|
"Gisborne District"|"25-34 years"|"Male sole parent"|"2013"|69|
"Gisborne District"|"25-34 years"|"Female sole parent"|"2013"|615|
"Wairoa District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|123|
"Wairoa District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Wairoa District"|"25-34 years"|"Female sole parent"|"2013"|114|
"Hastings District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|816|
"Hastings District"|"25-34 years"|"Male sole parent"|"2013"|99|
"Hastings District"|"25-34 years"|"Female sole parent"|"2013"|717|
"Napier City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|642|
"Napier City"|"25-34 years"|"Male sole parent"|"2013"|78|
"Napier City"|"25-34 years"|"Female sole parent"|"2013"|564|
"Central Hawke's Bay District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|102|
"Central Hawke's Bay District"|"25-34 years"|"Male sole parent"|"2013"|12|
"Central Hawke's Bay District"|"25-34 years"|"Female sole parent"|"2013"|90|
"New Plymouth District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|666|
"New Plymouth District"|"25-34 years"|"Male sole parent"|"2013"|54|
"New Plymouth District"|"25-34 years"|"Female sole parent"|"2013"|612|
"Stratford District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|78|
"Stratford District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Stratford District"|"25-34 years"|"Female sole parent"|"2013"|72|
"South Taranaki District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|285|
"South Taranaki District"|"25-34 years"|"Male sole parent"|"2013"|39|
"South Taranaki District"|"25-34 years"|"Female sole parent"|"2013"|246|
"Ruapehu District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|147|
"Ruapehu District"|"25-34 years"|"Male sole parent"|"2013"|15|
"Ruapehu District"|"25-34 years"|"Female sole parent"|"2013"|129|
"Wanganui District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|513|
"Wanganui District"|"25-34 years"|"Male sole parent"|"2013"|60|
"Wanganui District"|"25-34 years"|"Female sole parent"|"2013"|453|
"Rangitikei District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|117|
"Rangitikei District"|"25-34 years"|"Male sole parent"|"2013"|15|
"Rangitikei District"|"25-34 years"|"Female sole parent"|"2013"|105|
"Manawatu District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|222|
"Manawatu District"|"25-34 years"|"Male sole parent"|"2013"|21|
"Manawatu District"|"25-34 years"|"Female sole parent"|"2013"|198|
"Palmerston North City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|900|
"Palmerston North City"|"25-34 years"|"Male sole parent"|"2013"|105|
"Palmerston North City"|"25-34 years"|"Female sole parent"|"2013"|792|
"Tararua District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|165|
"Tararua District"|"25-34 years"|"Male sole parent"|"2013"|18|
"Tararua District"|"25-34 years"|"Female sole parent"|"2013"|147|
"Horowhenua District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|327|
"Horowhenua District"|"25-34 years"|"Male sole parent"|"2013"|39|
"Horowhenua District"|"25-34 years"|"Female sole parent"|"2013"|288|
"Kapiti Coast District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|354|
"Kapiti Coast District"|"25-34 years"|"Male sole parent"|"2013"|27|
"Kapiti Coast District"|"25-34 years"|"Female sole parent"|"2013"|324|
"Porirua City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|627|
"Porirua City"|"25-34 years"|"Male sole parent"|"2013"|78|
"Porirua City"|"25-34 years"|"Female sole parent"|"2013"|549|
"Upper Hutt City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|360|
"Upper Hutt City"|"25-34 years"|"Male sole parent"|"2013"|27|
"Upper Hutt City"|"25-34 years"|"Female sole parent"|"2013"|333|
"Lower Hutt City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|990|
"Lower Hutt City"|"25-34 years"|"Male sole parent"|"2013"|108|
"Lower Hutt City"|"25-34 years"|"Female sole parent"|"2013"|882|
"Wellington City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|771|
"Wellington City"|"25-34 years"|"Male sole parent"|"2013"|84|
"Wellington City"|"25-34 years"|"Female sole parent"|"2013"|687|
"Masterton District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|255|
"Masterton District"|"25-34 years"|"Male sole parent"|"2013"|33|
"Masterton District"|"25-34 years"|"Female sole parent"|"2013"|222|
"Carterton District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|51|
"Carterton District"|"25-34 years"|"Male sole parent"|"2013"||c
"Carterton District"|"25-34 years"|"Female sole parent"|"2013"|51|
"South Wairarapa District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|66|
"South Wairarapa District"|"25-34 years"|"Male sole parent"|"2013"|12|
"South Wairarapa District"|"25-34 years"|"Female sole parent"|"2013"|57|
"Tasman District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|264|
"Tasman District"|"25-34 years"|"Male sole parent"|"2013"|15|
"Tasman District"|"25-34 years"|"Female sole parent"|"2013"|249|
"Nelson City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|411|
"Nelson City"|"25-34 years"|"Male sole parent"|"2013"|39|
"Nelson City"|"25-34 years"|"Female sole parent"|"2013"|375|
"Marlborough District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|333|
"Marlborough District"|"25-34 years"|"Male sole parent"|"2013"|21|
"Marlborough District"|"25-34 years"|"Female sole parent"|"2013"|309|
"Kaikoura District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|24|
"Kaikoura District"|"25-34 years"|"Male sole parent"|"2013"||c
"Kaikoura District"|"25-34 years"|"Female sole parent"|"2013"|21|
"Buller District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|78|
"Buller District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Buller District"|"25-34 years"|"Female sole parent"|"2013"|66|
"Grey District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|84|
"Grey District"|"25-34 years"|"Male sole parent"|"2013"|6|
"Grey District"|"25-34 years"|"Female sole parent"|"2013"|78|
"Westland District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|39|
"Westland District"|"25-34 years"|"Male sole parent"|"2013"||c
"Westland District"|"25-34 years"|"Female sole parent"|"2013"|36|
"Hurunui District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|45|
"Hurunui District"|"25-34 years"|"Male sole parent"|"2013"||c
"Hurunui District"|"25-34 years"|"Female sole parent"|"2013"|39|
"Waimakariri District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|234|
"Waimakariri District"|"25-34 years"|"Male sole parent"|"2013"|21|
"Waimakariri District"|"25-34 years"|"Female sole parent"|"2013"|213|
"Christchurch City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|2391|
"Christchurch City"|"25-34 years"|"Male sole parent"|"2013"|255|
"Christchurch City"|"25-34 years"|"Female sole parent"|"2013"|2136|
"Selwyn District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|126|
"Selwyn District"|"25-34 years"|"Male sole parent"|"2013"|12|
"Selwyn District"|"25-34 years"|"Female sole parent"|"2013"|114|
"Ashburton District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|171|
"Ashburton District"|"25-34 years"|"Male sole parent"|"2013"|18|
"Ashburton District"|"25-34 years"|"Female sole parent"|"2013"|156|
"Timaru District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|288|
"Timaru District"|"25-34 years"|"Male sole parent"|"2013"|24|
"Timaru District"|"25-34 years"|"Female sole parent"|"2013"|264|
"Mackenzie District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|15|
"Mackenzie District"|"25-34 years"|"Male sole parent"|"2013"||c
"Mackenzie District"|"25-34 years"|"Female sole parent"|"2013"|12|
"Waimate District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|30|
"Waimate District"|"25-34 years"|"Male sole parent"|"2013"||c
"Waimate District"|"25-34 years"|"Female sole parent"|"2013"|27|
"Chatham Islands Territory"|"25-34 years"|"Total one parent with dependent children families"|"2013"||c
"Chatham Islands Territory"|"25-34 years"|"Male sole parent"|"2013"||c
"Chatham Islands Territory"|"25-34 years"|"Female sole parent"|"2013"||c
"Waitaki District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|120|
"Waitaki District"|"25-34 years"|"Male sole parent"|"2013"|12|
"Waitaki District"|"25-34 years"|"Female sole parent"|"2013"|105|
"Central Otago District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|96|
"Central Otago District"|"25-34 years"|"Male sole parent"|"2013"|12|
"Central Otago District"|"25-34 years"|"Female sole parent"|"2013"|84|
"Queenstown-Lakes District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|84|
"Queenstown-Lakes District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Queenstown-Lakes District"|"25-34 years"|"Female sole parent"|"2013"|75|
"Dunedin City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|768|
"Dunedin City"|"25-34 years"|"Male sole parent"|"2013"|69|
"Dunedin City"|"25-34 years"|"Female sole parent"|"2013"|702|
"Clutha District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|69|
"Clutha District"|"25-34 years"|"Male sole parent"|"2013"|6|
"Clutha District"|"25-34 years"|"Female sole parent"|"2013"|63|
"Southland District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|138|
"Southland District"|"25-34 years"|"Male sole parent"|"2013"|24|
"Southland District"|"25-34 years"|"Female sole parent"|"2013"|114|
"Gore District"|"25-34 years"|"Total one parent with dependent children families"|"2013"|96|
"Gore District"|"25-34 years"|"Male sole parent"|"2013"|9|
"Gore District"|"25-34 years"|"Female sole parent"|"2013"|90|
"Invercargill City"|"25-34 years"|"Total one parent with dependent children families"|"2013"|603|
"Invercargill City"|"25-34 years"|"Male sole parent"|"2013"|54|
"Invercargill City"|"25-34 years"|"Female sole parent"|"2013"|549|
"Total, Territorial Authority areas"|"25-34 years"|"Total one parent with dependent children families"|"2013"|35637|
"Total, Territorial Authority areas"|"25-34 years"|"Male sole parent"|"2013"|3825|
"Total, Territorial Authority areas"|"25-34 years"|"Female sole parent"|"2013"|31815|
"Area outside territorial authority"|"25-34 years"|"Total one parent with dependent children families"|"2013"||c
"Area outside territorial authority"|"25-34 years"|"Male sole parent"|"2013"||c
"Area outside territorial authority"|"25-34 years"|"Female sole parent"|"2013"||c
"Total, New Zealand by regional council"|"35-44 years"|"Total one parent with dependent children families"|"2013"|50925|
"Total, New Zealand by regional council"|"35-44 years"|"Male sole parent"|"2013"|8016|
"Total, New Zealand by regional council"|"35-44 years"|"Female sole parent"|"2013"|42912|
"Total, New Zealand by territorial authority"|"35-44 years"|"Total one parent with dependent children families"|"2013"|50925|
"Total, New Zealand by territorial authority"|"35-44 years"|"Male sole parent"|"2013"|8016|
"Total, New Zealand by territorial authority"|"35-44 years"|"Female sole parent"|"2013"|42912|
"Northland Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|2091|
"Northland Region"|"35-44 years"|"Male sole parent"|"2013"|354|
"Northland Region"|"35-44 years"|"Female sole parent"|"2013"|1737|
"Auckland Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|16527|
"Auckland Region"|"35-44 years"|"Male sole parent"|"2013"|2391|
"Auckland Region"|"35-44 years"|"Female sole parent"|"2013"|14136|
"Waikato Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|5280|
"Waikato Region"|"35-44 years"|"Male sole parent"|"2013"|849|
"Waikato Region"|"35-44 years"|"Female sole parent"|"2013"|4431|
"Bay of Plenty Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|4089|
"Bay of Plenty Region"|"35-44 years"|"Male sole parent"|"2013"|723|
"Bay of Plenty Region"|"35-44 years"|"Female sole parent"|"2013"|3366|
"Gisborne Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|759|
"Gisborne Region"|"35-44 years"|"Male sole parent"|"2013"|147|
"Gisborne Region"|"35-44 years"|"Female sole parent"|"2013"|612|
"Hawke's Bay Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|2271|
"Hawke's Bay Region"|"35-44 years"|"Male sole parent"|"2013"|363|
"Hawke's Bay Region"|"35-44 years"|"Female sole parent"|"2013"|1908|
"Taranaki Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1389|
"Taranaki Region"|"35-44 years"|"Male sole parent"|"2013"|261|
"Taranaki Region"|"35-44 years"|"Female sole parent"|"2013"|1128|
"Manawatu-Wanganui Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|3102|
"Manawatu-Wanganui Region"|"35-44 years"|"Male sole parent"|"2013"|510|
"Manawatu-Wanganui Region"|"35-44 years"|"Female sole parent"|"2013"|2589|
"Wellington Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|5289|
"Wellington Region"|"35-44 years"|"Male sole parent"|"2013"|867|
"Wellington Region"|"35-44 years"|"Female sole parent"|"2013"|4419|
"Tasman Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|534|
"Tasman Region"|"35-44 years"|"Male sole parent"|"2013"|84|
"Tasman Region"|"35-44 years"|"Female sole parent"|"2013"|453|
"Nelson Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|597|
"Nelson Region"|"35-44 years"|"Male sole parent"|"2013"|99|
"Nelson Region"|"35-44 years"|"Female sole parent"|"2013"|501|
"Marlborough Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|444|
"Marlborough Region"|"35-44 years"|"Male sole parent"|"2013"|75|
"Marlborough Region"|"35-44 years"|"Female sole parent"|"2013"|366|
"West Coast Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|321|
"West Coast Region"|"35-44 years"|"Male sole parent"|"2013"|60|
"West Coast Region"|"35-44 years"|"Female sole parent"|"2013"|258|
"Canterbury Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|5319|
"Canterbury Region"|"35-44 years"|"Male sole parent"|"2013"|795|
"Canterbury Region"|"35-44 years"|"Female sole parent"|"2013"|4524|
"Otago Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|1935|
"Otago Region"|"35-44 years"|"Male sole parent"|"2013"|273|
"Otago Region"|"35-44 years"|"Female sole parent"|"2013"|1659|
"Southland Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"|972|
"Southland Region"|"35-44 years"|"Male sole parent"|"2013"|162|
"Southland Region"|"35-44 years"|"Female sole parent"|"2013"|810|
"Total, Regional Council Areas"|"35-44 years"|"Total one parent with dependent children families"|"2013"|50919|
"Total, Regional Council Areas"|"35-44 years"|"Male sole parent"|"2013"|8013|
"Total, Regional Council Areas"|"35-44 years"|"Female sole parent"|"2013"|42906|
"Area Outside Region"|"35-44 years"|"Total one parent with dependent children families"|"2013"||c
