Area|Age group|Occupied dwelling type|Value|Flags
"Bay of Plenty Region"|"25-29 Years"|"Dwelling in a motor camp"|18|
"Bay of Plenty Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|33|
"Bay of Plenty Region"|"25-29 Years"|"Improvised dwelling or shelter"|21|
"Bay of Plenty Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Bay of Plenty Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|75|
"Bay of Plenty Region"|"25-29 Years"|"Occupied private dwelling not further defined"|990|
"Bay of Plenty Region"|"25-29 Years"|"Residential care for older people"|6|
"Bay of Plenty Region"|"25-29 Years"|"Public hospital"||c
"Bay of Plenty Region"|"25-29 Years"|"Private hospital"||c
"Bay of Plenty Region"|"25-29 Years"|"Residential and community care facilities"|24|
"Bay of Plenty Region"|"25-29 Years"|"Welfare institution"||c
"Bay of Plenty Region"|"25-29 Years"|"Educational institution"|6|
"Bay of Plenty Region"|"25-29 Years"|"Religious institution"||c
"Bay of Plenty Region"|"25-29 Years"|"Prison or penal institution"||c
"Bay of Plenty Region"|"25-29 Years"|"Defence establishment"||c
"Bay of Plenty Region"|"25-29 Years"|"Night shelter"||c
"Bay of Plenty Region"|"25-29 Years"|"Total usual residents in institutions"|36|
"Bay of Plenty Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|78|
"Bay of Plenty Region"|"25-29 Years"|"Boarding house"||c
"Bay of Plenty Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Bay of Plenty Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Bay of Plenty Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Bay of Plenty Region"|"25-29 Years"|"Communal staff quarters"||c
"Bay of Plenty Region"|"25-29 Years"|"Commercial vessel"||c
"Bay of Plenty Region"|"25-29 Years"|"Marae complex"||c
"Bay of Plenty Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|90|
"Bay of Plenty Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Gisborne Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|2277|
"Gisborne Region"|"25-29 Years"|"Separate house no storey information"|12|
"Gisborne Region"|"25-29 Years"|"Separate house with one storey"|1698|
"Gisborne Region"|"25-29 Years"|"Separate house with two or more storeys"|129|
"Gisborne Region"|"25-29 Years"|"Total usual residents in separate houses"|1836|
"Gisborne Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Gisborne Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|144|
"Gisborne Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|51|
"Gisborne Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Gisborne Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|198|
"Gisborne Region"|"25-29 Years"|"Dwelling in a motor camp"|0|
"Gisborne Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|3|
"Gisborne Region"|"25-29 Years"|"Improvised dwelling or shelter"|3|
"Gisborne Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Gisborne Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|6|
"Gisborne Region"|"25-29 Years"|"Occupied private dwelling not further defined"|213|
"Gisborne Region"|"25-29 Years"|"Residential care for older people"||c
"Gisborne Region"|"25-29 Years"|"Public hospital"||c
"Gisborne Region"|"25-29 Years"|"Private hospital"||c
"Gisborne Region"|"25-29 Years"|"Residential and community care facilities"||c
"Gisborne Region"|"25-29 Years"|"Welfare institution"||c
"Gisborne Region"|"25-29 Years"|"Educational institution"||c
"Gisborne Region"|"25-29 Years"|"Religious institution"||c
"Gisborne Region"|"25-29 Years"|"Prison or penal institution"||c
"Gisborne Region"|"25-29 Years"|"Defence establishment"||c
"Gisborne Region"|"25-29 Years"|"Night shelter"||c
"Gisborne Region"|"25-29 Years"|"Total usual residents in institutions"||c
"Gisborne Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|18|
"Gisborne Region"|"25-29 Years"|"Boarding house"||c
"Gisborne Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Gisborne Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Gisborne Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Gisborne Region"|"25-29 Years"|"Communal staff quarters"||c
"Gisborne Region"|"25-29 Years"|"Commercial vessel"||c
"Gisborne Region"|"25-29 Years"|"Marae complex"||c
"Gisborne Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|27|
"Gisborne Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|7092|
"Hawke's Bay Region"|"25-29 Years"|"Separate house no storey information"|24|
"Hawke's Bay Region"|"25-29 Years"|"Separate house with one storey"|5097|
"Hawke's Bay Region"|"25-29 Years"|"Separate house with two or more storeys"|447|
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in separate houses"|5568|
"Hawke's Bay Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|12|
"Hawke's Bay Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|687|
"Hawke's Bay Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|147|
"Hawke's Bay Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|27|
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|870|
"Hawke's Bay Region"|"25-29 Years"|"Dwelling in a motor camp"|3|
"Hawke's Bay Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|12|
"Hawke's Bay Region"|"25-29 Years"|"Improvised dwelling or shelter"|18|
"Hawke's Bay Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|33|
"Hawke's Bay Region"|"25-29 Years"|"Occupied private dwelling not further defined"|441|
"Hawke's Bay Region"|"25-29 Years"|"Residential care for older people"||c
"Hawke's Bay Region"|"25-29 Years"|"Public hospital"||c
"Hawke's Bay Region"|"25-29 Years"|"Private hospital"||c
"Hawke's Bay Region"|"25-29 Years"|"Residential and community care facilities"|18|
"Hawke's Bay Region"|"25-29 Years"|"Welfare institution"||c
"Hawke's Bay Region"|"25-29 Years"|"Educational institution"|9|
"Hawke's Bay Region"|"25-29 Years"|"Religious institution"||c
"Hawke's Bay Region"|"25-29 Years"|"Prison or penal institution"|60|
"Hawke's Bay Region"|"25-29 Years"|"Defence establishment"||c
"Hawke's Bay Region"|"25-29 Years"|"Night shelter"||c
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in institutions"|90|
"Hawke's Bay Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|45|
"Hawke's Bay Region"|"25-29 Years"|"Boarding house"|12|
"Hawke's Bay Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Hawke's Bay Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Hawke's Bay Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Hawke's Bay Region"|"25-29 Years"|"Communal staff quarters"|30|
"Hawke's Bay Region"|"25-29 Years"|"Commercial vessel"||c
"Hawke's Bay Region"|"25-29 Years"|"Marae complex"||c
"Hawke's Bay Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|87|
"Hawke's Bay Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Taranaki Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|5937|
"Taranaki Region"|"25-29 Years"|"Separate house no storey information"|24|
"Taranaki Region"|"25-29 Years"|"Separate house with one storey"|4389|
"Taranaki Region"|"25-29 Years"|"Separate house with two or more storeys"|690|
"Taranaki Region"|"25-29 Years"|"Total usual residents in separate houses"|5103|
"Taranaki Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Taranaki Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|288|
"Taranaki Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|180|
"Taranaki Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|12|
"Taranaki Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|480|
"Taranaki Region"|"25-29 Years"|"Dwelling in a motor camp"|3|
"Taranaki Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|3|
"Taranaki Region"|"25-29 Years"|"Improvised dwelling or shelter"|3|
"Taranaki Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Taranaki Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|12|
"Taranaki Region"|"25-29 Years"|"Occupied private dwelling not further defined"|297|
"Taranaki Region"|"25-29 Years"|"Residential care for older people"||c
"Taranaki Region"|"25-29 Years"|"Public hospital"||c
"Taranaki Region"|"25-29 Years"|"Private hospital"||c
"Taranaki Region"|"25-29 Years"|"Residential and community care facilities"|6|
"Taranaki Region"|"25-29 Years"|"Welfare institution"||c
"Taranaki Region"|"25-29 Years"|"Educational institution"|9|
"Taranaki Region"|"25-29 Years"|"Religious institution"||c
"Taranaki Region"|"25-29 Years"|"Prison or penal institution"||c
"Taranaki Region"|"25-29 Years"|"Defence establishment"||c
"Taranaki Region"|"25-29 Years"|"Night shelter"||c
"Taranaki Region"|"25-29 Years"|"Total usual residents in institutions"|18|
"Taranaki Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|18|
"Taranaki Region"|"25-29 Years"|"Boarding house"||c
"Taranaki Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Taranaki Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Taranaki Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Taranaki Region"|"25-29 Years"|"Communal staff quarters"|9|
"Taranaki Region"|"25-29 Years"|"Commercial vessel"||c
"Taranaki Region"|"25-29 Years"|"Marae complex"||c
"Taranaki Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|30|
"Taranaki Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|12075|
"Manawatu-Wanganui Region"|"25-29 Years"|"Separate house no storey information"|27|
"Manawatu-Wanganui Region"|"25-29 Years"|"Separate house with one storey"|8958|
"Manawatu-Wanganui Region"|"25-29 Years"|"Separate house with two or more storeys"|933|
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in separate houses"|9915|
"Manawatu-Wanganui Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|879|
"Manawatu-Wanganui Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|249|
"Manawatu-Wanganui Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|9|
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|1143|
"Manawatu-Wanganui Region"|"25-29 Years"|"Dwelling in a motor camp"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|15|
"Manawatu-Wanganui Region"|"25-29 Years"|"Improvised dwelling or shelter"|15|
"Manawatu-Wanganui Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|30|
"Manawatu-Wanganui Region"|"25-29 Years"|"Occupied private dwelling not further defined"|672|
"Manawatu-Wanganui Region"|"25-29 Years"|"Residential care for older people"|3|
"Manawatu-Wanganui Region"|"25-29 Years"|"Public hospital"|3|
"Manawatu-Wanganui Region"|"25-29 Years"|"Private hospital"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Residential and community care facilities"|21|
"Manawatu-Wanganui Region"|"25-29 Years"|"Welfare institution"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Educational institution"|63|
"Manawatu-Wanganui Region"|"25-29 Years"|"Religious institution"|6|
"Manawatu-Wanganui Region"|"25-29 Years"|"Prison or penal institution"|72|
"Manawatu-Wanganui Region"|"25-29 Years"|"Defence establishment"|81|
"Manawatu-Wanganui Region"|"25-29 Years"|"Night shelter"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in institutions"|246|
"Manawatu-Wanganui Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|48|
"Manawatu-Wanganui Region"|"25-29 Years"|"Boarding house"|18|
"Manawatu-Wanganui Region"|"25-29 Years"|"Moto camp/camping ground"|3|
"Manawatu-Wanganui Region"|"25-29 Years"|"Work, construction, or training camp"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Youth, school, or scout/guide camp"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Communal staff quarters"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Commercial vessel"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Marae complex"|0|
"Manawatu-Wanganui Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|72|
"Manawatu-Wanganui Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"|0|
"Wellington Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|30189|
"Wellington Region"|"25-29 Years"|"Separate house no storey information"|57|
"Wellington Region"|"25-29 Years"|"Separate house with one storey"|12084|
"Wellington Region"|"25-29 Years"|"Separate house with two or more storeys"|5691|
"Wellington Region"|"25-29 Years"|"Total usual residents in separate houses"|17832|
"Wellington Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|33|
"Wellington Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|2367|
"Wellington Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|5799|
"Wellington Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|1980|
"Wellington Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|10176|
"Wellington Region"|"25-29 Years"|"Dwelling in a motor camp"|6|
"Wellington Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|39|
"Wellington Region"|"25-29 Years"|"Improvised dwelling or shelter"|9|
"Wellington Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Wellington Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|57|
"Wellington Region"|"25-29 Years"|"Occupied private dwelling not further defined"|1605|
"Wellington Region"|"25-29 Years"|"Residential care for older people"|3|
"Wellington Region"|"25-29 Years"|"Public hospital"|18|
"Wellington Region"|"25-29 Years"|"Private hospital"|3|
"Wellington Region"|"25-29 Years"|"Residential and community care facilities"|42|
"Wellington Region"|"25-29 Years"|"Welfare institution"|6|
"Wellington Region"|"25-29 Years"|"Educational institution"|114|
"Wellington Region"|"25-29 Years"|"Religious institution"|3|
"Wellington Region"|"25-29 Years"|"Prison or penal institution"|54|
"Wellington Region"|"25-29 Years"|"Defence establishment"|12|
"Wellington Region"|"25-29 Years"|"Night shelter"|6|
"Wellington Region"|"25-29 Years"|"Total usual residents in institutions"|255|
"Wellington Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|204|
"Wellington Region"|"25-29 Years"|"Boarding house"|60|
"Wellington Region"|"25-29 Years"|"Moto camp/camping ground"|0|
"Wellington Region"|"25-29 Years"|"Work, construction, or training camp"|0|
"Wellington Region"|"25-29 Years"|"Youth, school, or scout/guide camp"|0|
"Wellington Region"|"25-29 Years"|"Communal staff quarters"|3|
"Wellington Region"|"25-29 Years"|"Commercial vessel"|0|
"Wellington Region"|"25-29 Years"|"Marae complex"|0|
"Wellington Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|267|
"Wellington Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"|0|
"Tasman Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|1710|
"Tasman Region"|"25-29 Years"|"Separate house no storey information"|3|
"Tasman Region"|"25-29 Years"|"Separate house with one storey"|1164|
"Tasman Region"|"25-29 Years"|"Separate house with two or more storeys"|237|
"Tasman Region"|"25-29 Years"|"Total usual residents in separate houses"|1404|
"Tasman Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Tasman Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|99|
"Tasman Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|30|
"Tasman Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Tasman Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|129|
"Tasman Region"|"25-29 Years"|"Dwelling in a motor camp"|3|
"Tasman Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|9|
"Tasman Region"|"25-29 Years"|"Improvised dwelling or shelter"|9|
"Tasman Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Tasman Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|24|
"Tasman Region"|"25-29 Years"|"Occupied private dwelling not further defined"|81|
"Tasman Region"|"25-29 Years"|"Residential care for older people"||c
"Tasman Region"|"25-29 Years"|"Public hospital"||c
"Tasman Region"|"25-29 Years"|"Private hospital"||c
"Tasman Region"|"25-29 Years"|"Residential and community care facilities"||c
"Tasman Region"|"25-29 Years"|"Welfare institution"||c
"Tasman Region"|"25-29 Years"|"Educational institution"||c
"Tasman Region"|"25-29 Years"|"Religious institution"||c
"Tasman Region"|"25-29 Years"|"Prison or penal institution"||c
"Tasman Region"|"25-29 Years"|"Defence establishment"||c
"Tasman Region"|"25-29 Years"|"Night shelter"||c
"Tasman Region"|"25-29 Years"|"Total usual residents in institutions"||c
"Tasman Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|18|
"Tasman Region"|"25-29 Years"|"Boarding house"||c
"Tasman Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Tasman Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Tasman Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Tasman Region"|"25-29 Years"|"Communal staff quarters"|42|
"Tasman Region"|"25-29 Years"|"Commercial vessel"||c
"Tasman Region"|"25-29 Years"|"Marae complex"||c
"Tasman Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|69|
"Tasman Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Nelson Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|2337|
"Nelson Region"|"25-29 Years"|"Separate house no storey information"|9|
"Nelson Region"|"25-29 Years"|"Separate house with one storey"|1350|
"Nelson Region"|"25-29 Years"|"Separate house with two or more storeys"|411|
"Nelson Region"|"25-29 Years"|"Total usual residents in separate houses"|1770|
"Nelson Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"Nelson Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|261|
"Nelson Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|141|
"Nelson Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|6|
"Nelson Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|405|
"Nelson Region"|"25-29 Years"|"Dwelling in a motor camp"|3|
"Nelson Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|3|
"Nelson Region"|"25-29 Years"|"Improvised dwelling or shelter"|6|
"Nelson Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Nelson Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|12|
"Nelson Region"|"25-29 Years"|"Occupied private dwelling not further defined"|102|
"Nelson Region"|"25-29 Years"|"Residential care for older people"||c
"Nelson Region"|"25-29 Years"|"Public hospital"||c
"Nelson Region"|"25-29 Years"|"Private hospital"||c
"Nelson Region"|"25-29 Years"|"Residential and community care facilities"|6|
"Nelson Region"|"25-29 Years"|"Welfare institution"||c
"Nelson Region"|"25-29 Years"|"Educational institution"||c
"Nelson Region"|"25-29 Years"|"Religious institution"||c
"Nelson Region"|"25-29 Years"|"Prison or penal institution"||c
"Nelson Region"|"25-29 Years"|"Defence establishment"||c
"Nelson Region"|"25-29 Years"|"Night shelter"||c
"Nelson Region"|"25-29 Years"|"Total usual residents in institutions"|6|
"Nelson Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|42|
"Nelson Region"|"25-29 Years"|"Boarding house"||c
"Nelson Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Nelson Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Nelson Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Nelson Region"|"25-29 Years"|"Communal staff quarters"||c
"Nelson Region"|"25-29 Years"|"Commercial vessel"||c
"Nelson Region"|"25-29 Years"|"Marae complex"||c
"Nelson Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|42|
"Nelson Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Marlborough Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|2088|
"Marlborough Region"|"25-29 Years"|"Separate house no storey information"|6|
"Marlborough Region"|"25-29 Years"|"Separate house with one storey"|1515|
"Marlborough Region"|"25-29 Years"|"Separate house with two or more storeys"|177|
"Marlborough Region"|"25-29 Years"|"Total usual residents in separate houses"|1695|
"Marlborough Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Marlborough Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|189|
"Marlborough Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|33|
"Marlborough Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Marlborough Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|225|
"Marlborough Region"|"25-29 Years"|"Dwelling in a motor camp"|0|
"Marlborough Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|3|
"Marlborough Region"|"25-29 Years"|"Improvised dwelling or shelter"|3|
"Marlborough Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"Marlborough Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|6|
"Marlborough Region"|"25-29 Years"|"Occupied private dwelling not further defined"|105|
"Marlborough Region"|"25-29 Years"|"Residential care for older people"||c
"Marlborough Region"|"25-29 Years"|"Public hospital"||c
"Marlborough Region"|"25-29 Years"|"Private hospital"||c
"Marlborough Region"|"25-29 Years"|"Residential and community care facilities"||c
"Marlborough Region"|"25-29 Years"|"Welfare institution"||c
"Marlborough Region"|"25-29 Years"|"Educational institution"||c
"Marlborough Region"|"25-29 Years"|"Religious institution"||c
"Marlborough Region"|"25-29 Years"|"Prison or penal institution"||c
"Marlborough Region"|"25-29 Years"|"Defence establishment"|12|
"Marlborough Region"|"25-29 Years"|"Night shelter"||c
"Marlborough Region"|"25-29 Years"|"Total usual residents in institutions"|18|
"Marlborough Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|24|
"Marlborough Region"|"25-29 Years"|"Boarding house"||c
"Marlborough Region"|"25-29 Years"|"Moto camp/camping ground"||c
"Marlborough Region"|"25-29 Years"|"Work, construction, or training camp"||c
"Marlborough Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"Marlborough Region"|"25-29 Years"|"Communal staff quarters"|6|
"Marlborough Region"|"25-29 Years"|"Commercial vessel"||c
"Marlborough Region"|"25-29 Years"|"Marae complex"||c
"Marlborough Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|36|
"Marlborough Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"West Coast Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|1581|
"West Coast Region"|"25-29 Years"|"Separate house no storey information"|6|
"West Coast Region"|"25-29 Years"|"Separate house with one storey"|1140|
"West Coast Region"|"25-29 Years"|"Separate house with two or more storeys"|123|
"West Coast Region"|"25-29 Years"|"Total usual residents in separate houses"|1269|
"West Coast Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|0|
"West Coast Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|78|
"West Coast Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|21|
"West Coast Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"West Coast Region"|"25-29 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|99|
"West Coast Region"|"25-29 Years"|"Dwelling in a motor camp"|0|
"West Coast Region"|"25-29 Years"|"Mobile dwelling not in a motor camp"|9|
"West Coast Region"|"25-29 Years"|"Improvised dwelling or shelter"|3|
"West Coast Region"|"25-29 Years"|"Roofless or rough sleeper"|0|
"West Coast Region"|"25-29 Years"|"Total usual residents in other occupied private dwellings"|9|
"West Coast Region"|"25-29 Years"|"Occupied private dwelling not further defined"|123|
"West Coast Region"|"25-29 Years"|"Residential care for older people"||c
"West Coast Region"|"25-29 Years"|"Public hospital"||c
"West Coast Region"|"25-29 Years"|"Private hospital"||c
"West Coast Region"|"25-29 Years"|"Residential and community care facilities"||c
"West Coast Region"|"25-29 Years"|"Welfare institution"||c
"West Coast Region"|"25-29 Years"|"Educational institution"||c
"West Coast Region"|"25-29 Years"|"Religious institution"|33|
"West Coast Region"|"25-29 Years"|"Prison or penal institution"||c
"West Coast Region"|"25-29 Years"|"Defence establishment"||c
"West Coast Region"|"25-29 Years"|"Night shelter"||c
"West Coast Region"|"25-29 Years"|"Total usual residents in institutions"|36|
"West Coast Region"|"25-29 Years"|"Hotel, motel, or guest accommodation"|39|
"West Coast Region"|"25-29 Years"|"Boarding house"||c
"West Coast Region"|"25-29 Years"|"Moto camp/camping ground"||c
"West Coast Region"|"25-29 Years"|"Work, construction, or training camp"||c
"West Coast Region"|"25-29 Years"|"Youth, school, or scout/guide camp"||c
"West Coast Region"|"25-29 Years"|"Communal staff quarters"||c
"West Coast Region"|"25-29 Years"|"Commercial vessel"||c
"West Coast Region"|"25-29 Years"|"Marae complex"||c
"West Coast Region"|"25-29 Years"|"Total usual residents in other occupied non-private dwellings"|42|
"West Coast Region"|"25-29 Years"|"Occupied non-private dwelling not further defined"||c
"Canterbury Region"|"25-29 Years"|"Total usual residents in occupied dwellings"|31359|
"Canterbury Region"|"25-29 Years"|"Separate house no storey information"|33|
"Canterbury Region"|"25-29 Years"|"Separate house with one storey"|19824|
"Canterbury Region"|"25-29 Years"|"Separate house with two or more storeys"|3276|
"Canterbury Region"|"25-29 Years"|"Total usual residents in separate houses"|23133|
"Canterbury Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|27|
"Canterbury Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|3198|
"Canterbury Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|2691|
"Canterbury Region"|"25-29 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|60|
